BPOS,BVEL,DEPT,DateTime,GR,HKLD,ROP5,RPM,Run,SPPA,SWOB,Stick_RT,TFLO,TQA,Well,azi,dispEw,dispNs,dls,incl,tvd
29.65,0.02,841.0,2007-10-14 15:48:20,104.05,104.37,56.19,174.0,run_2,147.32,3.41,66.0,4475.26,0.67,F-4,154.72,-5.3467074168,-78.8670527304,0.0518700787401575,16.7,832.933056
29.49,0.02,841.0,2007-10-14 15:48:30,104.05,104.51,57.11,175.0,run_2,147.31,3.27,66.0,4475.26,0.59,F-4,154.72,-5.3467074168,-78.8670527304,0.0518700787401575,16.7,832.933056
29.34,0.02,841.0,2007-10-14 15:48:40,104.05,104.1,58.11,175.0,run_2,147.47,3.69,66.0,4475.26,0.68,F-4,154.72,-5.3467074168,-78.8670527304,0.0518700787401575,16.7,832.933056
29.13,0.02,841.0,2007-10-14 15:48:50,106.79,104.57,61.03,175.0,run_2,147.46,3.21,24.0,4475.26,0.68,F-4,154.72,-5.3467074168,-78.8670527304,0.0518700787401575,16.7,832.933056
28.95,0.02,841.0,2007-10-14 15:49:00,106.79,102.32,61.98,175.0,run_2,149.1,5.46,24.0,4475.26,0.63,F-4,154.72,-5.3467074168,-78.8670527304,0.0518700787401575,16.7,832.933056
28.8,0.02,841.0,2007-10-14 15:49:10,106.79,102.37,62.13,174.0,run_2,149.84,5.42,24.0,4475.26,0.69,F-4,154.72,-5.3467074168,-78.8670527304,0.0518700787401575,16.7,832.933056
35.08,0.01,876.0,2007-10-14 17:43:00,109.52,103.74,41.85,189.0,run_2,147.73,4.41,9.0,4475.26,0.82,F-4,152.07,-0.7644749759999999,-88.0163346096,0.0213615485564304,16.65,867.1032696000001
34.98,0.01,876.0,2007-10-14 17:43:10,109.52,104.25,41.48,174.0,run_2,147.48,3.89,9.0,4475.26,0.61,F-4,152.07,-0.7644749759999999,-88.0163346096,0.0213615485564304,16.65,867.1032696000001
34.84,0.01,876.0,2007-10-14 17:43:20,95.83,104.43,41.15,189.0,run_2,147.31,3.72,9.0,4475.26,0.68,F-4,152.07,-0.7644749759999999,-88.0163346096,0.0213615485564304,16.65,867.1032696000001
34.74,0.01,876.0,2007-10-14 17:43:30,95.83,104.81,41.16,189.0,run_2,146.93,3.34,9.0,4475.26,0.7,F-4,152.07,-0.7644749759999999,-88.0163346096,0.0213615485564304,16.65,867.1032696000001
34.63,0.01,876.0,2007-10-14 17:43:40,95.83,105.9,41.16,174.0,run_2,146.07,2.25,9.0,4475.26,0.49,F-4,152.07,-0.7644749759999999,-88.0163346096,0.0213615485564304,16.65,867.1032696000001
34.48,0.01,876.0,2007-10-14 17:43:50,101.31,104.89,41.4,189.0,run_2,146.24,3.26,9.0,4475.26,0.81,F-4,152.07,-0.7644749759999999,-88.0163346096,0.0213615485564304,16.65,867.1032696000001
34.38,0.01,876.0,2007-10-14 17:44:00,101.31,103.36,41.62,189.0,run_2,147.73,4.79,9.0,4475.26,0.7,F-4,152.07,-0.7644749759999999,-88.0163346096,0.0213615485564304,16.65,867.1032696000001
34.28,0.01,876.0,2007-10-14 17:44:10,101.31,103.36,41.63,190.0,run_2,148.29,4.79,9.0,4475.26,0.76,F-4,152.07,-0.7644749759999999,-88.0163346096,0.0213615485564304,16.65,867.1032696000001
34.14,0.01,876.0,2007-10-14 17:44:20,112.26,104.05,41.63,189.0,run_2,147.65,4.1,15.0,4475.26,0.71,F-4,152.07,-0.7644749759999999,-88.0163346096,0.0213615485564304,16.65,867.1032696000001
34.37,0.04,917.0,2007-10-14 19:11:20,38.33,112.86,89.99,132.0,run_2,74.12,-4.35,78.0,3057.36,0.48,F-4,154.24,4.4047888536,-98.2165357992,0.0268405511811024,15.73,906.496536
33.94,0.05,917.0,2007-10-14 19:11:30,38.33,112.68,131.08,132.0,run_2,74.16,-4.16,78.0,3057.36,0.48,F-4,154.24,4.4047888536,-98.2165357992,0.0268405511811024,15.73,906.496536
